name_latin,name_cyrillic,elevation,reference_place_cyrillic,HDD,district_latin,district_cyrillic
Mali Zvornik,Мали Зворник,149,Лозница,2478.7,Macvanski,Мачвански
Mali Idos,Мали Иђош,88,Палић,2779.2,Severnobacki,Севернобачки
Malo Crnice,Мало Црниће,87,Велико Градиште,2629.5,Branicevski,Браничевски
Medveda,Медвеђа,440,Куршумлија,2823.3,Jablanicki,Јабланички
Merosina,Мерошина,244,Ниш,2476.7,Nisavski,Нишавски
Miionica,Мионица,189,Ваљево,2557.6,Kolubarski,Колубарски
Mladenovac,Младеновац,138,Смедеревска Паланка,2554.6,Beogradski,Београдски
Negotin,Неготин,46,Неготин,2567.9,Borski,Борски
Nis,Ниш,195,Ниш,2476.7,Nisavski,Нишавски
Nova Varos,Нова Варош,1111,Сјеница,3956,Zlatiborski,Златиборски
Nova Crnja,Нова Црња,77,Кикинда,2644.2,Srednjebanatski,Средњeбанатски
Novi Beograd,Нови Београд,76,Београд,2299,Beogradski,Београдски
Novi Becej,Нови Бечеј,76,Кикинда,2644.2,Srednjebanatski,Средњeбанатски
Novi Knezevac,Нови Кнежевац,84,Кикинда,2644.2,Severnobanatski,Севернобанатски
Novi Pazar,Нови Пазар,477,Јошаничка Бања,3008.5,Raski,Рашки
Novi Sad,Нови Сад,80,Нови Сад,2604.2,Juznobacki,Јужнобачки
Obrenovac,Обреновац,76,Сурчин,2482.5,Beogradski,Београдски
Opovo,Опово,67,Зрењанин,2589.7,Juznobanatski,Јужнобанатски
Odzaci,Оџаци,87,Сомбор,2686.2,Zapadnobacki,Западнобачки
Palilula,Палилула,256,Београд,2299,Beogradski,Београдски
Pancevo,Панчево,77,Банатски Карловац,2596.4,Juznobanatski,Јужнобанатски
Paracin,Параћин,132,Ћуприја,2666.2,Pomoravski,Поморавски
Petrovac na Mlavi,Петровац на Млави,127,Велико Градиште,2629.5,Branicevski,Браничевски
Pecinci,Пећинци,83,Сурчин,2482.5,Sremski,Сремски
Pirot,Пирот,367,Пирот,2613.1,Pirotski,Пиротски
Plandiste,Пландиште,79,Вршац,2521,Juznobanatski,Јужнобанатски
Pozarevac,Пожаревац,81,Велико Градиште,2629.5,Branicevski,Браничевски
Pozega,Пожега,315,Пожега,3062,Zlatiborski,Златиборски
Presevo,Прешево,463,Врање,2662.9,Pcinjski,Пчињски
Priboj,Прибој,882,РЦ Ужице,3190.6,Zlatiborski,Златиборски
Prijepolje,Пријепоље,557,РЦ Ужице,3190.6,Zlatiborski,Златиборски
Prokupje,Прокупље,273,Куршумлија,2823.3,Toplicki,Топлички
Rakovica,Раковица,307,Београд,2299,Beogradski,Београдски
Raca,Рача,140,Крагујевац,2530.9,Sumadijski,Шумадијски
Raska,Рашка,497,Јошаничка Бања,3008.5,Raski,Рашки
Savski Venac,Савски Венац,161,Београд,2299,Beogradski,Београдски
Svilajnac,Свилајнац,100,Ћуприја,2666.2,Pomoravski,Поморавски
Senta,Сента,81,Палић,2779.2,Severnobanatski,Севернобанатски
Secanj,Сечањ,77,Зрењанин,2589.7,Srednjebanatski,Средњeбанатски
Smederevo,Смедерево,72,Смедеревска Паланка,2554.6,Podunavski,Подунавски
Smederevska Palanka,Смедеревска Паланка,125,Смедеревска Паланка,2554.6,Podunavski,Подунавски
Sokobanja,Сокобања,369,Ниш,2476.7,Zajecarski,Зајечарски
Sombor,Сомбор,90,Сомбор,2686.2,Zapadnobacki,Западнобачки
Srbobran,Србобран,82,Нови Сад,2604.2,Juznobacki,Јужнобачки
Sremska Mitrovica,Сремска Митровица,82,Сремска Митровица,2628.9,Sremski,Сремски
Sremski Karlovci,Сремски Карловци,87,Нови Сад,2604.2,Juznobacki,Јужнобачки
Stara Pazova,Стара Пазова,82,Сурчин,2482.5,Sremski,Сремски
Stari Grad,Стари Град,58,Београд,2299,Beogradski,Београдски
Subotica,Суботица,109,Палић,2779.2,Severnobacki,Севернобачки
Surcin,Сурчин,73,Београд,2299,Beogradski,Београдски
Temerin,Темерин,83,Нови Сад,2604.2,Juznobacki,Јужнобачки
