Id,Naziv opstine,Naziv latinica,nadmorska visina,referentno mesto,nadmorska ref,HDD,okrug/oblast,okrug latinica
75,Лазаревац,Lazarevac,161,Београд,117,2299,Београдски,Beogradski
76,Лајковац,Lajkovac,113,Ваљево,199,2557.6,Колубарски,Kolubarski
77,Лапово,Lapovo,105,Смедеревска Паланка,125,2554.6,Шумадијски,Sumadijski
78,Лебане,Lebane,275,Лесковац,228,2681.2,Јабланички,Jablanicki
79,Лесковац,Leskovac,228,Лесковац,228,2681.2,Јабланички,Jablanicki
80,Лозница,Loznica,121,Лозница,121,2478.7,Мачвански,Macvanski
81,Лучани,Lucani,308,Пожега,315,3062,Моравички,Moravicki
82,Љубовија,Ljubovija,174,Љубовија,174,2627.9,Мачвански,Macvanski
83,Мајданпек,Majdanpek,362,Неготин,46,2567.9,Борски,Borski
84,Мали Зворник,Mali Zvornik,149,Лозница,121,2478.7,Мачвански,Macvanski
85,Мали Иђош,Mali Idos,88,Палић,102,2779.2,Севернобачки,Severnobacki
86,Мало Црниће,Malo Crnice,87,Велико Градиште,72,2629.5,Браничевски,Branicevski
87,Медвеђа,Medveda,440,Куршумлија,380,2823.3,Јабланички,Jablanicki
88,Мерошина,Merosina,244,Ниш,195,2476.7,Нишавски,Nisavski
89,Мионица,Miionica,189,Ваљево,199,2557.6,Колубарски,Kolubarski
90,Младеновац,Mladenovac,138,Смедеревска Паланка,125,2554.6,Београдски,Beogradski
91,Неготин,Negotin,46,Неготин,46,2567.9,Борски,Borski
92,Ниш,Nis,195,Ниш,195,2476.7,Нишавски,Nisavski
93,Нова Варош,Nova Varos,1111,Сјеница,1038,3956,Златиборски,Zlatiborski
94,Нова Црња,Nova Crnja,77,Кикинда,78,2644.2,Средњeбанатски,Srednjebanatski
95,Нови Београд,Novi Beograd,76,Београд,117,2299,Београдски,Beogradski
96,Нови Бечеј,Novi Becej,76,Кикинда,78,2644.2,Средњeбанатски,Srednjebanatski
97,Нови Кнежевац,Novi Knezevac,84,Кикинда,78,2644.2,Севернобанатски,Severnobanatski
98,Нови Пазар,Novi Pazar,477,Јошаничка Бања,555,3008.5,Рашки,Raski
99,Нови Сад,Novi Sad,80,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
100,Обреновац,Obrenovac,76,Сурчин,96,2482.5,Београдски,Beogradski
101,Опово,Opovo,67,Зрењанин,76,2589.7,Јужнобанатски,Juznobanatski
102,Оџаци,Odzaci,87,Сомбор,90,2686.2,Западнобачки,Zapadnobacki
103,Палилула,Palilula,256,Београд,117,2299,Београдски,Beogradski
104,Панчево,Pancevo,77,Банатски Карловац,89,2596.4,Јужнобанатски,Juznobanatski
105,Параћин,Paracin,132,Ћуприја,124,2666.2,Поморавски,Pomoravski
106,Петровац на Млави,Petrovac na Mlavi,127,Велико Градиште,72,2629.5,Браничевски,Branicevski
107,Пећинци,Pecinci,83,Сурчин,96,2482.5,Сремски,Sremski
108,Пирот,Pirot,367,Пирот,367,2613.1,Пиротски,Pirotski
109,Пландиште,Plandiste,79,Вршац,93,2521,Јужнобанатски,Juznobanatski
110,Пожаревац,Pozarevac,81,Велико Градиште,72,2629.5,Браничевски,Branicevski
111,Пожега,Pozega,315,Пожега,315,3062,Златиборски,Zlatiborski
112,Прешево,Presevo,463,Врање,487,2662.9,Пчињски,Pcinjski
113,Прибој,Priboj,882,РЦ Ужице,833,3190.6,Златиборски,Zlatiborski
114,Пријепоље,Prijepolje,557,РЦ Ужице,833,3190.6,Златиборски,Zlatiborski
115,Прокупље,Prokupje,273,Куршумлија,366,2823.3,Топлички,Toplicki
116,Раковица,Rakovica,307,Београд,117,2299,Београдски,Beogradski
117,Рача,Raca,140,Крагујевац,173,2530.9,Шумадијски,Sumadijski
118,Рашка,Raska,497,Јошаничка Бања,555,3008.5,Рашки,Raski
119,Савски Венац,Savski Venac,161,Београд,117,2299,Београдски,Beogradski
120,Свилајнац,Svilajnac,100,Ћуприја,124,2666.2,Поморавски,Pomoravski
121,Сента,Senta,81,Палић,102,2779.2,Севернобанатски,Severnobanatski
122,Сечањ,Secanj,77,Зрењанин,76,2589.7,Средњeбанатски,Srednjebanatski
123,Смедерево,Smederevo,72,Смедеревска Паланка,125,2554.6,Подунавски,Podunavski
124,Смедеревска Паланка,Smederevska Palanka,125,Смедеревска Паланка,125,2554.6,Подунавски,Podunavski
125,Сокобања,Sokobanja,369,Ниш,195,2476.7,Зајечарски,Zajecarski
126,Сомбор,Sombor,90,Сомбор,90,2686.2,Западнобачки,Zapadnobacki
127,Србобран,Srbobran,82,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
128,Сремска Митровица,Sremska Mitrovica,82,Сремска Митровица,82,2628.9,Сремски,Sremski
129,Сремски Карловци,Sremski Karlovci,87,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
130,Стара Пазова,Stara Pazova,82,Сурчин,96,2482.5,Сремски,Sremski
131,Стари Град,Stari Grad,58,Београд,117,2299,Београдски,Beogradski
132,Суботица,Subotica,109,Палић,102,2779.2,Севернобачки,Severnobacki
133,Сурчин,Surcin,73,Београд,117,2299,Београдски,Beogradski
134,Темерин,Temerin,83,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
135,Тител,Titel,79,Зрењанин,76,2589.7,Јужнобачки,Juznobacki
136,Топола,Topola,272,Смедеревска Паланка,125,2554.6,Шумадијски,Sumadijski
137,Трговиште,Trgoviste,805,Врање,487,2662.9,Пчињски,Pcinjski
138,Трстеник,Trstenik,172,Крушевац,163,2588.6,Расински,Rasinski
139,Тутин,Tutin,867,Сјеница,1038,3956,Рашки,Raski
140,Ћуприја,Cuprija,124,Ћуприја,124,2666.2,Поморавски,Pomoravski
141,Ужице,Uzice,411,Пожега,315,3062,Златиборски,Zlatiborski
142,Чајетина,Cajetina,843,Златибор,1028,3633.9,Златиборски,Zlatiborski
143,Чачак,Cacak,242,Пожега,315,3062,Моравички,Moravicki
144,Чока,Coka,81,Кикинда,78,2644.2,Севернобанатски,Severnobanatski
145,Шабац,Sabac,83,Лозница,121,2478.7,Мачвански,Macvanski
146,Шид,Sid,98,Сремска Митровица,82,2628.9,Сремски,Sremski
